variable,Temperature,sea_pressure,Precipitation,Cloud,Sunshine,Radiation,Wind,WDirection
20200823T0000,20.3508,1008.2,0.6,100,0,0,4.7952,180
20200823T0100,20.1408,1007.9,0,100,0,0,4.861344,170.53767
20200823T0200,19.9408,1007.4,0,100,0,0,4.897704,157.61986
20200823T0300,19.8008,1007,0,100,0,0,4.3692846,142.4314
20200823T0400,19.7708,1007,0,100,0,0,3.4734309,122.47119
20200823T0500,19.670801,1007.4,0,100,0,0,2.3976,89.99999
20200823T0600,20.9408,1007.4,0,45,31.276594,85.44,1.332,143.1301
20200823T0700,21.4508,1007.4,0,49,28.723406,192.23999,3.2408962,189.46233
20200823T0800,22.0408,1007.6,0,100,0,258.1,3.7105224,201.0375
20200823T0900,22.0208,1007.6,0.2,100,0,291.91998,3.6234317,216.02737
20200823T1000,22.1108,1007.3,0.3,100,0,297.26,3.6234317,233.97263
20200823T1100,22.2208,1006.9,0.6,100,0,285.69,3.207881,221.63354
20200823T1200,22.670801,1006.3,0,100,0,224.28,2.5132127,212.00539
20200823T1300,23.000801,1005.6,0,100,0,319.51,2.5132127,212.00539
20200823T1400,23.1408,1005.1,0,100,0,288.36,3.0374274,232.12502
20200823T1500,22.9608,1004.7,0,100,0,237.62999,2.7812977,253.30075
20200823T1600,22.6808,1004.9,0,50,28.085108,175.33,2.028842,246.8014
20200823T1700,22.420801,1005.1,0,100,0,105.909996,2.4560866,229.39871
20200823T1800,21.4908,1005.7,0,100,0,18.69,2.6372256,225
20200823T1900,21.1208,1006.7,0,100,0,0,2.382754,206.56505
20200823T2000,20.8908,1007.7,0,100,0,0,2.7812977,196.69925
